Nsyl,Ntom,HEB,p_value,q_value
Nitab05g016870.1,Nitab24g006810.1,-7.036769272659317,1.11022302463e-16,8.75850176298e-15
Nitab05g027960.1,Nitab23g005670.1,-5.899428265334886,1.11022302463e-16,8.70509626442e-15
Nitab11g025790.1,Nitab09g008470.1,-6.373185064988116,2.22044604925e-16,1.73046762105e-14
Nitab16g014280.1,Nitab22g009980.1,-6.3771968931317025,2.22044604925e-16,1.72004311731e-14
Nitab05g022240.1,Nitab21g012480.1,-5.614717279322278,2.22044604925e-16,1.69956641353e-14
Nitab08g015000.1,Nitab22g016520.1,-6.592362593653363,3.33066907388e-16,2.5342647113e-14
Nitab08g021860.1,Nitab15g015460.1,-6.81459029147689,3.33066907388e-16,2.51935727182e-14
Nitab20g021410.1,Nitab22g009040.1,-5.465637403064464,4.4408920985e-16,3.33949891781e-14
Nitab03g009200.1,Nitab17g038620.1,-5.6872927372505915,4.4408920985e-16,3.32008322643e-14
Nitab10g011310.1,Nitab22g018590.1,-5.7163737094196145,5.55111512313e-16,4.12611499239e-14
Nitab01g016730.1,Nitab15g020740.1,-5.658130465286993,6.66133814775e-16,4.8669401842e-14
Nitab06g012530.1,Nitab02g010470.1,-5.54386763704416,7.77156117238e-16,5.58293324668e-14
Nitab05g018840.1,Nitab24g017270.1,-5.690263893926335,7.77156117238e-16,5.55191695087e-14
Nitab20g006910.1,Nitab04g031870.1,-6.453317626760896,8.881784197e-16,6.30999243034e-14
Nitab16g010060.1,Nitab12g007210.1,-5.936690207553458,8.881784197e-16,6.27532214227e-14
Nitab21g005190.1,Nitab23g013290.1,-5.878997461033107,8.881784197e-16,6.20711211898e-14
Nitab16g016200.1,Nitab06g035390.1,-5.4217461855204805,9.99200722163e-16,6.94525518178e-14
Nitab18g014340.1,Nitab09g015530.1,-6.597702043250044,9.99200722163e-16,6.90791510016e-14
Nitab21g009230.1,Nitab17g039050.1,-5.324912149538332,1.44328993201e-15,9.87194959348e-14
Nitab01g028520.1,Nitab01g029130.1,-5.484443367660946,1.66533453694e-15,1.13304427569e-13
Nitab16g014320.1,Nitab22g014530.1,-5.673738845872719,1.66533453694e-15,1.12708088476e-13
Nitab16g023140.1,Nitab12g020280.1,-7.245558228917755,1.88737914186e-15,1.27067059608e-13
Nitab01g025780.1,Nitab01g027060.1,-5.752021300016422,2.22044604925e-15,1.48712061184e-13
Nitab11g024040.1,Nitab13g020190.1,-5.434299921842139,2.33146835171e-15,1.55338608988e-13
