Nsyl,Ntom,HEB,p_value,q_value
Nitab03g021480.1,Nitab17g017190.1,-6.762110133698292,0.0,0.0
Nitab03g023440.1,Nitab17g032780.1,-6.177053555348815,0.0,0.0
Nitab03g026300.1,Nitab14g007150.1,-7.214181033032976,0.0,0.0
Nitab03g026680.1,Nitab23g024800.1,-7.2108062760947575,0.0,0.0
Nitab03g027130.1,Nitab19g023790.1,-8.715524871012391,0.0,0.0
Nitab03g030360.1,Nitab22g021640.1,-9.425865470956152,0.0,0.0
Nitab11g006760.1,Nitab23g026140.1,-8.573097379905077,0.0,0.0
Nitab11g008860.1,Nitab13g024530.1,-8.772093227629524,0.0,0.0
Nitab11g009990.1,Nitab13g023850.1,-9.138539687159883,0.0,0.0
Nitab11g010930.1,Nitab12g009090.1,-9.368277390408615,0.0,0.0
Nitab11g017510.1,Nitab04g025340.1,-5.249914563938165,0.0,0.0
Nitab11g018170.1,Nitab19g037050.1,-7.349718234325184,0.0,0.0
Nitab11g018420.1,Nitab21g019540.1,-8.733684721008107,0.0,0.0
Nitab11g018810.1,Nitab23g012920.1,-7.24787818764009,0.0,0.0
Nitab11g020750.1,Nitab09g015210.1,-7.457899633397222,0.0,0.0
Nitab11g020870.1,Nitab13g011540.1,-6.454284477070495,0.0,0.0
Nitab11g021170.1,Nitab11g008550.1,-4.753460784917886,0.0,0.0
Nitab11g023120.1,Nitab11g005590.1,-7.267983815848439,0.0,0.0
Nitab11g024110.1,Nitab13g020400.1,-7.977316470106172,0.0,0.0
Nitab11g025790.1,Nitab09g008470.1,-5.637629712071704,0.0,0.0
Nitab11g026790.1,Nitab14g008730.1,-7.675621717089255,0.0,0.0
Nitab11g026770.1,Nitab13g005170.1,-7.388778301634928,0.0,0.0
Nitab11g026960.1,Nitab13g005030.1,-6.299613488433365,0.0,0.0
Nitab24g020840.1,Nitab12g015010.1,-6.1339765923329725,0.0,0.0
Nitab10g005290.1,Nitab23g028050.1,-9.433436489537943,0.0,0.0
Nitab10g006990.1,Nitab24g009420.1,-5.035961013514439,0.0,0.0
Nitab10g008650.1,Nitab02g008080.1,-7.440609041001961,0.0,0.0
Nitab10g009590.1,Nitab13g020450.1,-8.003843241499464,0.0,0.0
Nitab10g011310.1,Nitab22g018590.1,-8.385193476647203,0.0,0.0
Nitab10g011660.1,Nitab24g015680.1,-7.572612702367051,0.0,0.0
Nitab10g011680.1,Nitab02g013290.1,-5.434007793504648,0.0,0.0
Nitab10g012220.1,Nitab24g012760.1,-9.296916264298254,0.0,0.0
Nitab10g014790.1,Nitab18g023700.1,-7.080636593262996,0.0,0.0
Nitab10g016880.1,Nitab02g017230.1,-7.662852553924837,0.0,0.0
Nitab10g017190.1,Nitab02g017420.1,-5.709926685797227,0.0,0.0
Nitab10g018680.1,Nitab02g018950.1,-5.127946967362769,0.0,0.0
Nitab10g020130.1,Nitab02g019740.1,-6.469584459739776,0.0,0.0
Nitab10g022040.1,Nitab02g023440.1,-8.182593721497893,0.0,0.0
Nitab10g021950.1,Nitab24g021910.1,-6.015966438042975,0.0,0.0
Nitab10g022750.1,Nitab21g012600.1,-6.9450596429062585,0.0,0.0
Nitab10g022940.1,Nitab02g024620.1,-5.471105287695761,0.0,0.0
Nitab10g024070.1,Nitab02g025860.1,-4.862465028815048,0.0,0.0
Nitab10g024600.1,Nitab21g016150.1,-7.926046182556077,0.0,0.0
Nitab10g025990.1,Nitab02g027870.1,-6.109862808136659,0.0,0.0
Nitab10g026460.1,Nitab02g028380.1,-7.618730228421811,0.0,0.0
Nitab01g005030.1,Nitab23g005590.1,-5.5691919831403265,0.0,0.0
Nitab01g005160.1,Nitab23g005480.1,-7.693620218339653,0.0,0.0
Nitab01g005540.1,Nitab15g024040.1,-8.258561773304113,0.0,0.0
Nitab01g006210.1,Nitab23g006760.1,-8.525828255180748,0.0,0.0
Nitab01g006640.1,Nitab17g010400.1,-7.6417024633864346,0.0,0.0
Nitab01g006890.1,Nitab04g020650.1,-8.175372751095518,0.0,0.0
Nitab01g008670.1,Nitab23g009120.1,-7.514164161218081,0.0,0.0
Nitab01g009770.1,Nitab23g010680.1,-6.7624899369550775,0.0,0.0
Nitab01g010240.1,Nitab07g011880.1,-6.35363353711721,0.0,0.0
Nitab01g010840.1,Nitab12g016430.1,-5.53418674566026,0.0,0.0
Nitab01g011180.1,Nitab23g013560.1,-4.9471149142401885,0.0,0.0
Nitab01g013830.1,Nitab23g015840.1,-5.98497230856767,0.0,0.0
Nitab01g015080.1,Nitab23g017140.1,-7.923013819551743,0.0,0.0
Nitab01g015040.1,Nitab23g017120.1,-6.246774493645387,0.0,0.0
Nitab01g019340.1,Nitab23g023100.1,-6.467758917627317,0.0,0.0
Nitab01g021080.1,Nitab09g008880.1,-8.885891864062835,0.0,0.0
Nitab01g021750.1,Nitab23g020520.1,-5.773448079406771,0.0,0.0
Nitab01g022390.1,Nitab23g023260.1,-8.656276635712846,0.0,0.0
Nitab01g023270.1,Nitab23g023800.1,-5.515432926225271,0.0,0.0
Nitab01g023330.1,Nitab23g024120.1,-6.655522546214115,0.0,0.0
Nitab01g025150.1,Nitab02g022290.1,-9.79088220327833,0.0,0.0
Nitab01g026540.1,Nitab02g017920.1,-4.89270994014018,0.0,0.0
Nitab01g025780.1,Nitab01g027060.1,-5.87045660796042,0.0,0.0
Nitab01g028520.1,Nitab01g029130.1,-5.492718880476141,0.0,0.0
Nitab19g016360.1,Nitab19g015790.1,-9.894361324686109,0.0,0.0
Nitab19g021230.1,Nitab04g029270.1,-6.308236777161415,0.0,0.0
Nitab19g022600.1,Nitab19g021340.1,-7.045132142350967,0.0,0.0
Nitab19g026750.1,Nitab19g026700.1,-6.3904731065946585,0.0,0.0
Nitab16g005120.1,Nitab24g005660.1,-10.238441968426347,0.0,0.0
Nitab16g006480.1,Nitab23g026770.1,-5.965359425953479,0.0,0.0
Nitab16g006650.1,Nitab11g005420.1,-8.522139421955032,0.0,0.0
Nitab16g010040.1,Nitab12g007160.1,-6.058358956677974,0.0,0.0
Nitab16g010050.1,Nitab12g007180.1,-8.358643551639108,0.0,0.0
Nitab16g010060.1,Nitab12g007210.1,-7.66016393470079,0.0,0.0
Nitab16g010590.1,Nitab12g007730.1,-7.8541077711086995,0.0,0.0
Nitab16g010740.1,Nitab12g007910.1,-5.067279193890341,0.0,0.0
Nitab16g011430.1,Nitab12g008720.1,-5.149383013698944,0.0,0.0
Nitab16g011510.1,Nitab24g023030.1,-9.811081773687091,0.0,0.0
Nitab16g011830.1,Nitab12g009300.1,-5.877252655922678,0.0,0.0
Nitab16g014280.1,Nitab22g009980.1,-6.972274800342388,0.0,0.0
Nitab16g016200.1,Nitab06g035390.1,-5.750238209529313,0.0,0.0
Nitab16g016490.1,Nitab15g011670.1,-5.474275427135677,0.0,0.0
Nitab16g016620.1,Nitab12g015380.1,-8.578895338294947,0.0,0.0
Nitab16g017290.1,Nitab21g014800.1,-7.300332666091748,0.0,0.0
Nitab16g019470.1,Nitab12g016790.1,-6.65381499493246,0.0,0.0
Nitab16g020460.1,Nitab12g019220.1,-5.764879960876542,0.0,0.0
Nitab16g023140.1,Nitab12g020280.1,-6.113066396148919,0.0,0.0
Nitab16g026180.1,Nitab04g019930.1,-10.257278057249838,0.0,0.0
Nitab07g007850.1,Nitab19g020340.1,-7.136538518944108,0.0,0.0
Nitab07g015400.1,Nitab19g028940.1,-7.037086751871198,0.0,0.0
Nitab07g017230.1,Nitab19g029620.1,-7.575864277958165,0.0,0.0
Nitab07g018680.1,Nitab17g035980.1,-8.209037925551021,0.0,0.0
Nitab07g019590.1,Nitab19g032770.1,-7.051167193037009,0.0,0.0
Nitab07g022740.1,Nitab19g036070.1,-4.762355514456028,0.0,0.0
Nitab07g024180.1,Nitab23g021540.1,-8.285059302090767,0.0,0.0
Nitab07g027180.1,Nitab14g011950.1,-8.915566146105293,0.0,0.0
Nitab07g028340.1,Nitab14g011030.1,-9.30606944104746,0.0,0.0
Nitab07g028520.1,Nitab13g010050.1,-7.474847497306433,0.0,0.0
Nitab07g028530.1,Nitab22g005300.1,-5.07344866546715,0.0,0.0
Nitab07g027960.1,Nitab14g011150.1,-5.402549929576499,0.0,0.0
Nitab07g029070.1,Nitab13g006670.1,-7.477415532363479,0.0,0.0
Nitab07g030710.1,Nitab14g008790.1,-6.1083242192483675,0.0,0.0
Nitab07g031470.1,Nitab12g019510.1,-8.018883257560146,0.0,0.0
Nitab07g032380.1,Nitab14g007760.1,-6.235379833505803,0.0,0.0
Nitab07g033280.1,Nitab14g006340.1,-4.752809060253904,0.0,0.0
Nitab04g020250.1,Nitab09g011150.1,-7.590975956136291,0.0,0.0
Nitab18g007980.1,Nitab09g020570.1,-7.679254024233562,0.0,0.0
Nitab18g010680.1,Nitab09g018320.1,-8.693984335950843,0.0,0.0
