"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0080022","primary root development",6,2,0,"7.8e-06"
"2","GO:0009299","mRNA transcription",11,2,0.01,"2.9e-05"
"3","GO:0071669","plant-type cell wall organization or bio...",273,4,0.2,"4.6e-05"
"4","GO:0009653","anatomical structure morphogenesis",434,4,0.32,"0.00027"
"5","GO:0030245","cellulose catabolic process",46,2,0.03,"0.00053"
"6","GO:0051275","beta-glucan catabolic process",46,2,0.03,"0.00053"
"7","GO:0071554","cell wall organization or biogenesis",965,5,0.71,"0.00062"
"8","GO:0009251","glucan catabolic process",58,2,0.04,"0.00084"
"9","GO:0090698","post-embryonic plant morphogenesis",73,2,0.05,"0.00132"
"10","GO:0007275","multicellular organism development",1176,5,0.86,"0.00151"
"11","GO:0044247","cellular polysaccharide catabolic proces...",80,2,0.06,"0.00159"
"12","GO:0044275","cellular carbohydrate catabolic process",93,2,0.07,"0.00214"
"13","GO:0006073","cellular glucan metabolic process",367,3,0.27,"0.00243"
"14","GO:0044042","glucan metabolic process",367,3,0.27,"0.00243"
"15","GO:0005975","carbohydrate metabolic process",2036,6,1.5,"0.00314"
"16","GO:0048856","anatomical structure development",1403,5,1.03,"0.00325"
"17","GO:0044264","cellular polysaccharide metabolic proces...",418,3,0.31,"0.00350"
"18","GO:0032501","multicellular organismal process",1453,5,1.07,"0.00378"
"19","GO:0032502","developmental process",1516,5,1.11,"0.00453"
"20","GO:0009826","unidimensional cell growth",160,2,0.12,"0.00616"
"21","GO:0060560","developmental growth involved in morphog...",164,2,0.12,"0.00646"
"22","GO:0030243","cellulose metabolic process",190,2,0.14,"0.00858"
"23","GO:0009628","response to abiotic stimulus",1163,4,0.85,"0.00985"
"24","GO:0016049","cell growth",207,2,0.15,"0.01011"
"25","GO:0009664","plant-type cell wall organization",214,2,0.16,"0.01077"
"26","GO:0022622","root system development",214,2,0.16,"0.01077"
"27","GO:0048364","root development",214,2,0.16,"0.01077"
"28","GO:0051273","beta-glucan metabolic process",216,2,0.16,"0.01097"
"29","GO:0044262","cellular carbohydrate metabolic process",648,3,0.48,"0.01168"
"30","GO:0000902","cell morphogenesis",234,2,0.17,"0.01277"
"31","GO:0048589","developmental growth",242,2,0.18,"0.01361"
"32","GO:0032989","cellular component morphogenesis",243,2,0.18,"0.01372"
"33","GO:2000012","regulation of auxin polar transport",23,1,0.02,"0.01677"
"34","GO:0005976","polysaccharide metabolic process",761,3,0.56,"0.01792"
"35","GO:0071555","cell wall organization",778,3,0.57,"0.01899"
"36","GO:0045229","external encapsulating structure organiz...",786,3,0.58,"0.01951"
"37","GO:0048731","system development",853,3,0.63,"0.02415"
"38","GO:0040007","growth",330,2,0.24,"0.02436"
"39","GO:0000272","polysaccharide catabolic process",356,2,0.26,"0.02803"
"40","GO:0099402","plant organ development",409,2,0.3,"0.03614"
