,A5967,A5980,A6001
Nitab01g005030.1,17.846413471249477,20.601541411250345,20.67070210626862
Nitab01g005050.1,9.526573114773308,5.7773546774263025,3.181116159755459
Nitab01g005070.1,9.33335337787755,12.928039490472194,5.506164754906001
Nitab01g005120.1,6.222632259712053,5.313434463434392,3.911049691239216
Nitab01g005130.1,90.61367350405499,82.43183794255752,138.27623067336268
Nitab01g005140.1,6.000134125102036,5.6525245791488175,7.020155986130762
Nitab01g005150.1,14.314886618841607,15.367807221823403,11.90397765032601
Nitab01g005180.1,21.499132095293795,14.425021613483896,24.137683094432298
Nitab01g005190.1,17.057932891215223,21.071153606675434,19.716359559001333
Nitab01g005200.1,6.693959269697019,6.901985511374831,4.309134452613077
Nitab01g005260.1,10.093180579792897,11.934165143822376,20.11448195925138
Nitab01g005290.1,19.96426525219378,20.732545773156556,21.363984541139388
Nitab01g005300.1,17.1091122577766,19.39462791417279,15.193815396617726
Nitab01g005350.1,160.3639807653504,178.67170581977274,140.27929425232432
Nitab01g005360.1,17.485451968000863,17.472509738903934,10.480927023452452
Nitab01g005370.1,13.847218733850159,11.638456603895689,12.612813621870533
Nitab01g005380.1,25.08011892685398,14.630673717247168,15.968823664776359
Nitab01g005390.1,8.39743818196937,8.60616682925912,10.905684590900561
Nitab01g005400.1,20.42853258157333,23.912511260610376,16.61706792723395
Nitab01g005410.1,7.771207182092502,8.686245015672494,8.904176053251412
Nitab01g005440.1,10.962381497631396,9.114552841653454,7.636859235969535
Nitab01g005460.1,16.946181556406657,14.472833106261579,15.188528621967352
Nitab01g005510.1,22.48506386469665,36.273818562320905,47.56107533150927
Nitab01g005530.1,11.01893763648139,9.85310929230643,12.11844184051994
Nitab01g005570.1,6.662138709690352,11.66108892566084,6.03660227606744
Nitab01g005590.1,4.051189802799201,4.457437237901476,7.3688256608805665
Nitab01g005610.1,35.85789604617679,5.92409199585185,11.65793657965534
Nitab01g005620.1,24.0545971148026,21.88867962793561,24.200140050937705
Nitab01g005640.1,5.080269563994961,5.465991592019514,9.51170557754304
Nitab01g005660.1,51.21404575340526,54.17141337821369,64.35338059977558
Nitab01g005690.1,10.171534542471617,9.608269025890731,8.160555605758745
Nitab01g005700.1,55.14585695521859,69.42553589842873,51.83276407982939
Nitab01g005720.1,6.393596618749264,7.086854588947122,8.617729589274637
Nitab01g005730.1,52.54070508196931,54.541937408118486,42.76178157591429
Nitab01g005760.1,89.8124858537388,99.07976500092829,103.28522759168321
Nitab01g005770.1,3.9518191616051848,4.777530283752168,7.8547811779714864
Nitab01g005780.1,23.955717978680383,20.125256094192824,22.58006393348713
Nitab01g005790.1,18.353796642508346,20.841541582426316,18.641916620785278
