"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0071702","organic substance transport",1849,39,12.18,"1.4e-10"
"2","GO:0033036","macromolecule localization",1430,32,9.42,"1.8e-09"
"3","GO:0006886","intracellular protein transport",722,22,4.75,"3.4e-09"
"4","GO:0034613","cellular protein localization",815,23,5.37,"6.3e-09"
"5","GO:0070727","cellular macromolecule localization",815,23,5.37,"6.3e-09"
"6","GO:0015031","protein transport",1076,26,7.09,"1.5e-08"
"7","GO:0016192","vesicle-mediated transport",661,20,4.35,"2.0e-08"
"8","GO:0008104","protein localization",1172,27,7.72,"2.1e-08"
"9","GO:0045184","establishment of protein localization",1109,26,7.3,"2.7e-08"
"10","GO:0071705","nitrogen compound transport",1367,29,9,"3.6e-08"
"11","GO:0015833","peptide transport",1134,26,7.47,"4.2e-08"
"12","GO:0042886","amide transport",1145,26,7.54,"5.1e-08"
"13","GO:0046907","intracellular transport",923,23,6.08,"6.1e-08"
"14","GO:0051641","cellular localization",1103,25,7.26,"9.7e-08"
"15","GO:0051649","establishment of localization in cell",984,23,6.48,"1.9e-07"
"16","GO:0006810","transport",4569,58,30.09,"5.9e-07"
"17","GO:0051179","localization",4726,59,31.12,"8.0e-07"
"18","GO:0051234","establishment of localization",4656,58,30.66,"1.1e-06"
"19","GO:0017144","drug metabolic process",1283,25,8.45,"1.5e-06"
"20","GO:0016051","carbohydrate biosynthetic process",426,13,2.81,"5.9e-06"
"21","GO:1901564","organonitrogen compound metabolic proces...",11095,105,73.07,"1.1e-05"
"22","GO:0019752","carboxylic acid metabolic process",1516,25,9.98,"2.7e-05"
"23","GO:0043436","oxoacid metabolic process",1560,25,10.27,"4.3e-05"
"24","GO:0015783","GDP-fucose transmembrane transport",2,2,0.01,"4.3e-05"
"25","GO:0090480","purine nucleotide-sugar transmembrane tr...",2,2,0.01,"4.3e-05"
"26","GO:0006082","organic acid metabolic process",1564,25,10.3,"4.4e-05"
"27","GO:0009108","coenzyme biosynthetic process",376,11,2.48,"4.5e-05"
"28","GO:0016053","organic acid biosynthetic process",838,17,5.52,"4.7e-05"
"29","GO:0046394","carboxylic acid biosynthetic process",838,17,5.52,"4.7e-05"
"30","GO:0044281","small molecule metabolic process",2614,35,17.21,"5.2e-05"
"31","GO:0045489","pectin biosynthetic process",102,6,0.67,"6.1e-05"
"32","GO:0051188","cofactor biosynthetic process",468,12,3.08,"7.3e-05"
"33","GO:0006732","coenzyme metabolic process",483,12,3.18,"9.8e-05"
"34","GO:0019359","nicotinamide nucleotide biosynthetic pro...",170,7,1.12,"0.00014"
"35","GO:0006793","phosphorus metabolic process",5992,62,39.46,"0.00015"
"36","GO:0019363","pyridine nucleotide biosynthetic process",172,7,1.13,"0.00015"
"37","GO:0000271","polysaccharide biosynthetic process",295,9,1.94,"0.00016"
"38","GO:0005975","carbohydrate metabolic process",2036,28,13.41,"0.00020"
"39","GO:0006796","phosphate-containing compound metabolic ...",5965,61,39.28,"0.00023"
"40","GO:0072525","pyridine-containing compound biosyntheti...",185,7,1.22,"0.00024"
